num,dataset,variable group,Variable Type (SAS),core,variable,label,whereClause,dataType,length,fractionDigits,sasFieldName,codeList,displayFormat,role,mandatory,comment,method,methodName,note,lengthAsData,lengthAsCodeList,originType,originDescription,crfPages,VARIABLE_CODELIST
15,ADAE,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTETM,Time of Last Exposure to Treatment,,integer,5,,TRTETM,,TIME5.,,No,,,,,TRUE,,Predecessor,ADSL.TRTETM,,
16,ADAE,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDTM,Datetime of Last Exposure to Treatment,,integer,10,,TRTEDTM,,E8601DT16.,,No,,,,,TRUE,,Predecessor,ADSL.TRTEDTM,,
17,ADAE,Record-Level Treatment Variables for BDS Datasets ,Char,Cond,TRTP,Planned Treatment,,text,30,,TRTP,Planned/Actual Treatment ,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01P,,0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@Placebo@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@100 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@IV 0.45 mg MEDI0618@IV 1.35 mg MEDI0618@IV 4 mg MEDI0618@IV 12 mg MEDI0618@IV 40 mg MEDI0618@IV 100 mg MEDI0618@IV 200 mg MEDI0618
18,ADAE,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTPG1,Planned Pooled Treatment 1,,text,8,,TRTPG1,Planned/Actual Pooled Treatment,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01PG1,,MEDI0618@Placebo
19,ADAE,Record-Level Treatment Variables for BDS Datasets ,Char,,TRTA,Actual Treatment,,text,30,,TRTA,Planned/Actual Treatment ,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01A,,0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@Placebo@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
20,ADAE,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTAG1,Actual Pooled Treatment 1,,text,8,,TRTAG1,Planned/Actual Pooled Treatment,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01AG1,,MEDI0618@Placebo
21,ADAE,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORT,Cohort ,,text,23,,COHORT,Cohort,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.COHORT,,COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5 (INTRAVENOUS)@COHORT 6 (INTRAVENOUS)@COHORT 7 (INTRAVENOUS)@COHORT 8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT5@COHORT6@COHORT7@COHORT8
22,ADAE,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG1,Pooled Cohort Group 1,,text,24,,COHORTG1,Pooled Cohort Group 1,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.COHORTG1,,COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5-8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT 5-8
23,ADAE,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORTG2,Pooled Cohort Group 2,,text,24,,COHORTG2,Pooled Cohort Group 2,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.COHORTG2,,COHORT 1-8 (INTRAVENOUS)@COHORT 1-8
24,ADAE,,Char,,ADAPOSFL,ADA Positive at any Visit,,text,1,,ADAPOSFL,No Yes Response - N/Y,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.ADAPOSFL,,N@Y
25,ADAE,Identifier Variables,Num,Req,AESEQ,Sequence Number,,integer,1,,AESEQ,,,,Yes,,,,,TRUE,,Predecessor,AE.AESEQ,,
26,ADAE,Dictionary Coding Variables for MedDRA,Char,Req,AETERM,Reported Term for the Adverse Event,,text,41,,AETERM,,,,Yes,,,,,TRUE,,Predecessor,AE.AETERM,,
27,ADAE,Dictionary Coding Variables for MedDRA,Char,Req,AEDECOD,Dictionary-Derived Term,,text,28,,AEDECOD,,,,No,,,,,TRUE,,Predecessor,AE.AEDECOD,,PLEASE ADD DICTIONARY_@_PLEASE ADD DICTIONARY_
28,ADAE,Dictionary Coding Variables for MedDRA,Char,Req,AEBODSYS,Body System or Organ Class,,text,52,,AEBODSYS,,,,No,,,,,TRUE,,Predecessor,AE.AEBODSYS,,PLEASE ADD DICTIONARY_@_PLEASE ADD DICTIONARY_
29,ADAE,Dictionary Coding Variables for MedDRA,Num,Perm,AEBDSYCD,Body System or Organ Class Code,,integer,8,,AEBDSYCD,,,,No,,,,,TRUE,,Predecessor,AE.AEBDSYCD,,
30,ADAE,Dictionary Coding Variables for MedDRA,Char,Cond,AELLT,Lowest Level Term,,text,27,,AELLT,,,,No,,,,,TRUE,,Predecessor,AE.AELLT,,PLEASE ADD DICTIONARY_@_PLEASE ADD DICTIONARY_
31,ADAE,Dictionary Coding Variables for MedDRA,Num,Perm,AELLTCD,Lowest Level Term Code,,integer,8,,AELLTCD,,,,No,,,,,TRUE,,Predecessor,AE.AELLTCD,,
32,ADAE,Dictionary Coding Variables for MedDRA,Num,Perm,AEPTCD,Preferred Term Code,,integer,8,,AEPTCD,,,,No,,,,,TRUE,,Predecessor,AE.AEPTCD,,
33,ADAE,Dictionary Coding Variables for MedDRA,Char,Cond,AEHLT,High Level Term,,text,57,,AEHLT,,,,No,,,,,TRUE,,Predecessor,AE.AEHLT,,PLEASE ADD DICTIONARY_@_PLEASE ADD DICTIONARY_
34,ADAE,Dictionary Coding Variables for MedDRA,Num,Perm,AEHLTCD,High Level Term Code,,integer,8,,AEHLTCD,,,,No,,,,,TRUE,,Predecessor,AE.AEHLTCD,,
35,ADAE,Dictionary Coding Variables for MedDRA,Char,Cond,AEHLGT,High Level Group Term,,text,86,,AEHLGT,,,,No,,,,,TRUE,,Predecessor,AE.AEHLGT,,PLEASE ADD DICTIONARY_@_PLEASE ADD DICTIONARY_
36,ADAE,Dictionary Coding Variables for MedDRA,Num,Perm,AEHLGTCD,High Level Group Term Code,,integer,8,,AEHLGTCD,,,,No,,,,,TRUE,,Predecessor,AE.AEHLGTCD,,
39,ADAE,Timing Variables,Char,Perm,AESTDTC,Start Date/Time of Adverse Event,,text,16,,AESTDTC,,ISO 8601,,No,,,,,TRUE,,Predecessor,AE.AESTDTC,,
40,ADAE,Timing Variables,Num,Cond,ASTDT,Analysis Start Date,,integer,5,,ASTDT,,YYMMDD10.,,No,,Date part of AE.AESTDTC converted to numeric SAS date,MT.ADAE.ASTDT,,TRUE,,Derived,,,
41,ADAE,Timing Variables,Num,Cond,ASTTM,Analysis Start Time,,integer,5,,ASTTM,,TIME5.,,No,,"Time part of AE.AESTDTC converted to numeric SAS time. Set to ""00:00"" if missing",MT.ADAE.ASTTM,,,,Derived,,,
42,ADAE,Timing Variables,Num,Cond,ASTDTM,Analysis Start Date/Time,,integer,10,,ASTDTM,,E8601DT16.,,No,,"AE.AESTDTC converted to numeric SAS date with time part set to ""00:00"" in case of missing time",MT.ADAE.ASTDTM,,TRUE,,Derived,,,
43,ADAE,Timing Variables,Char,Cond,ASTTMF,Analysis Start Time Imputation Flag,,text,1,,ASTTMF,Time Imputation Flag,,,No,,,,,TRUE,TRUE,Assigned,,,H
44,ADAE,Timing Variables,Char,Perm,AEENDTC,End Date/Time of Adverse Event,,text,16,,AEENDTC,,ISO 8601,,No,,,,,TRUE,,Predecessor,AE.AEENDTC,,
45,ADAE,Timing Variables,Num,Cond,AENDT,Analysis End Date,,integer,5,,AENDT,,YYMMDD10.,,No,,Date part of AE.AEENDTC converted to numeric SAS date,MT.ADAE.AENDT,,TRUE,,Derived,,,
46,ADAE,Timing Variables,Num,Cond,AENTM,Analysis End Time,,integer,5,,AENTM,,TIME5.,,No,,"Time part of AE.AEENDTC converted to numeric SAS time. Set to ""23:59"" if missing",MT.ADAE.AENTM,,,,Derived,,,
47,ADAE,Timing Variables,Num,Cond,AENDTM,Analysis End Date/Time,,integer,10,,AENDTM,,E8601DT16.,,No,,"AE.AEENDTC converted to numeric SAS date with time part set to ""23:59"" in case of missing time",MT.ADAE.AENDTM,,TRUE,,Derived,,,
48,ADAE,Timing Variables,Char,Cond,AENTMF,Analysis End Time Imputation Flag,,text,1,,AENTMF,Time Imputation Flag,,,No,,,,,TRUE,TRUE,Assigned,,,H
49,ADAE,Timing Variables,Num,Perm,AESTDY,Study Day of Start of Adverse Event,,integer,2,,AESTDY,,,,No,,,,,TRUE,,Predecessor,AE.AESTDY,,
51,ADAE,Timing Variables,Num,Perm,AEENDY,Study Day of End of Adverse Event,,integer,2,,AEENDY,,,,No,,,,,TRUE,,Predecessor,AE.AENDY,,
52,ADAE,Timing Variables,Num,Perm,ADURN,Analysis Duration (N),,float,5,2,ADURN,,5.2,,No,,ADURN = (AENDTM - ASTDTM) / 86400,MT.ADAE.ADURN,,TRUE,,Derived,,,
53,ADAE,Timing Variables,Char,Cond,ADURU,Analysis Duration Units,,text,4,,ADURU,AE Time Units,,,No,,,,,TRUE,TRUE,Assigned,,,DAYS
54,ADAE,,Num,,AONSET,Onset Time Rel. to Treatment Start,,float,5,2,AONSET,,5.2,,No,,AONSET = ASTDTM - TRTSDTM / 86400,MT.ADAE.AONSET,,TRUE,,Derived,,,
55,ADAE,,Char,,AONSETU,Onset Time Rel. to Treatment Start Units,,text,4,,AONSETU,AE Time Units,,,No,,,,,TRUE,TRUE,Assigned,,,DAYS
58,ADAE,Indicator Variables,Char,Cond,TRTEMFL,Treatment Emergent Analysis Flag,,text,1,,TRTEMFL,No Yes Response - Y,,,No,,,,,TRUE,TRUE,Predecessor,"ADAE.AETRTEM where AETRTEM=""Y""",,Y
59,ADAE,Indicator Variables,Char,Perm,AETRTEM,Treatment Emergent Flag,,text,1,,AETRTEM,No Yes Response - N/Y,,,No,,,,,TRUE,TRUE,Predecessor,"SUPPAE.QVAL where QNAM=""AETRTEM""",,Y@N
63,ADAE,Occurrence Flag Variables,Char,Perm,AOCCFL,1st Occurrence within Subject Flag,,text,1,,AOCCFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment emergent AE of the subject (TRTEMFL= ""Y"") after sorting for USUBJID and AE start time (ASTDTM)",MT.ADAE.AOCCFL,,TRUE,TRUE,Derived,,,Y
64,ADAE,Occurrence Flag Variables,Char,Perm,AOCCSFL,1st Occurrence of SOC Flag,,text,1,,AOCCSFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment emergent AE of the subject (TRTEMFL = ""Y"") within each body system or organ class (AEBODSYS) after sorting by USUBJID, AEBODSYS, and AE start datetime (ASTDTM)",MT.ADAE.AOCCSFL,,TRUE,TRUE,Derived,,,Y
65,ADAE,Occurrence Flag Variables,Char,Perm,AOCCPFL,1st Occurrence of Preferred Term Flag,,text,1,,AOCCPFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE of the subject (TRTEMFL = ""Y"") within equal dictionary-derived terms (AEDECOD) after sorting by USUBJID, AEBODSYS, AEDECOD and  AE start datetime (ASTDTM)",MT.ADAE.AOCCPFL,,TRUE,TRUE,Derived,,,Y
66,ADAE,Occurrence Flag Variables,Char,Perm,AOCCIFL,1st Max Sev./Int. Occurrence Flag,,text,1,,AOCCIFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE of the subject (TRTEMFL = ""Y"") after sorting by USUBJID, descending AE severity (AESEV), and AE start datetime (ASTDTM)",MT.ADAE.AOCCIFL,,TRUE,TRUE,Derived,,,Y
67,ADAE,Occurrence Flag Variables,Char,Perm,AOCCSIFL,1st Max Sev./Int. Occur Within SOC Flag,,text,1,,AOCCSIFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE of the subject (TRTEMFL = ""Y"") within each body system or organ class (AEBODSYS) after sorting by USUBJID, AEBODSYS, descending AE severity (AESEV), and AE start datetime (ASTDTM)",MT.ADAE.AOCCSIFL,,TRUE,TRUE,Derived,,,Y
68,ADAE,Occurrence Flag Variables,Char,Perm,AOCCPIFL,1st Max Sev./Int. Occur Within PT Flag,,text,1,,AOCCPIFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE of the subject (TRTEMFL = ""Y"") within equal dictionary-derived terms (AEDECOD) after sorting by USUBJID, AEBODSYS, AEDECOD, descending AE severity (AESEV), and AE start datetime (ASTDTM) ",MT.ADAE.AOCCPIFL,,TRUE,TRUE,Derived,,,Y
69,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC01FL,1st Occurrence of Related TEAE Flag,,text,1,,AOCC01FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE related to study treatment of the subject  (TRTEMFL = ""Y"" and AEREL=""RELATED"") after sorting by USUBJID and AE start datetime (ASTDTM)",MT.ADAE.AOCC01FL,,TRUE,TRUE,Derived,,,Y
70,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC02FL,1st Occurrence of Serious TEAE Flag,,text,1,,AOCC02FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first serious treatment-emergent AE of the subject (TRTEMFL = ""Y"" and AESER = ""Y"") after sorting by USUBJID and AE start datetime (ASTDTM)",MT.ADAE.AOCC02FL,,TRUE,TRUE,Derived,,,
71,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC03FL,1st Occurrence of Rel. Serious TEAE Flag,,text,1,,AOCC03FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first serious treatment-emergent AE related to study treatment of the subject (TRTEMFL = ""Y"", AESER = ""Y"", AEREL = ""RELATED"") after sorting  by USUBJID and AE start datetime (ASTDTM)",MT.ADAE.AOCC03FL,,TRUE,TRUE,Derived,,,
72,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC04FL,1st Occur of TEAE Lead to Disc. IP Flag,,text,1,,AOCC04FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE leading to discontinuation of study treatment of the subject (TRTEMFL = ""Y"" and AEACN = ""WITHDRAWN"") after sorting by USUBJID and AE start datetime (ASTDTM)",MT.ADAE.AOCC04FL,,TRUE,TRUE,Derived,,,
73,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC05FL,1st Occur of TEAE Leading to Disc. Flag,,text,1,,AOCC05FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE  leading to discontinuation of study participation of the subject (TRTEMFL = ""Y"" and AECAUDIS = ""Y"") after sorting by USUBJID and AE start datetime (ASTDTM)",MT.ADAE.AOCC05FL,,TRUE,TRUE,Derived,,,
74,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC06FL,1st Occur of Rel. and Lead to Disc. Flag,,text,1,,AOCC06FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent and treatment-related AE leading to discontinuation of study participation of the subject (TRTEMFL = ""Y"", AEREL = ""RELATED"" and AECAUDIS = ""Y"") after sorting by USUBJID and AE start datetime (ASTDTM)",MT.ADAE.AOCC06FL,,TRUE,TRUE,Derived,,,
75,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC07FL,1st Occurrence of Fatal TEAE Flag,,text,1,,AOCC07FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first fatal treatment-emergent AE  of the subject (TRTEMFL = ""Y"" and AEOUT = ""FATAL"") after sorting by USUBJID and AE start datetime (ASTDTM) ",MT.ADAE.AOCC07FL,,TRUE,TRUE,Derived,,,
76,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC08FL,1st Occur of Fatal and Related TEAE Flag,,text,1,,AOCC08FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first fatal treatment-emergent AE related to study treatment of the subject (TRTEMFL = ""Y"", AEOUT = ""FATAL"" and AEREL = ""RELATED"") after sorting by USUBJD and AE start datetime (ASTDTM)",MT.ADAE.AOCC08FL,,TRUE,TRUE,Derived,,,
77,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC09FL,1st Occurrence of Max Related TEAE Flag,,text,1,,AOCC09FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE of the subject (TRTEMFL = ""Y"") after sorting by USUBJID, descending  relationship (AEREL), and AE start datetime (ASTDTC).",MT.ADAE.AOCC09FL,,TRUE,TRUE,Derived,,,Y
78,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC10FL,1st Occur of Max Rel. Within SOC Flag,,text,1,,AOCC10FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment emergent AE of the subject (TRTEMFL = ""Y"") within each body system or organ class (AEBODSYS) after sorting by USUBJID, AEBODSYS, descending relationship (AEREL), and AE start datetime (ASTDTM)",MT.ADAE.AOCC10FL,,TRUE,TRUE,Derived,,,Y
79,ADAE,Occurrence Flag Variables (Sponsor-defined),Char,Perm,AOCC11FL,1st Occur of Max Rel. Within PT Flag,,text,1,,AOCC11FL,No Yes Response - Y,,,No,,"Set to ""Y"" for the first treatment-emergent AE of the subject (TRTEMFL = ""Y"") within equal dictionary-derived terms (AEDECOD) after sorting by USUBJID, AEBODSYS, AEDECOD, descending AE relationshiü (AEREL), and AE start datetime (ASTDTM) ",MT.ADAE.AOCC11FL,,TRUE,TRUE,Derived,,,Y
83,ADAE,Descriptive Variables,Char,Req,AESER,Serious Event,,text,1,,AESER,No Yes Response - N/Y,,,Yes,,,,,TRUE,TRUE,Predecessor,AE.AESER,,N
84,ADAE,Descriptive Variables,Char,Perm,AESEV,Severity/Intensity,,text,8,,AESEV,AE Severity,,,No,,,,,TRUE,TRUE,Predecessor,AE.AESEV,,MILD@MODERATE
88,ADAE,Descriptive Variables,Char,Perm,AEREL,Causality,,text,11,,AEREL,AE Causality,,,No,,,,,TRUE,TRUE,Predecessor,AE.AEREL,,NOT RELATED
100,ADAE,Descriptive Variables,Char,Perm,AEACN,Action Taken with Study Treatment,,text,1,,AEACN,AE Action with Treatment,,,No,,,,,TRUE,TRUE,Predecessor,AE.AEACN,,NOT APPLICABLE@DOSE NOT CHANGED
101,ADAE,Descriptive Variables,Char,,AEOUT,Outcome of Adverse Event,,text,26,,AEOUT,AE Outcome,,,No,,,,,TRUE,TRUE,Predecessor,AE.AEOUT,,RECOVERED/RESOLVED@RECOVERING/RESOLVING@NOT RECOVERED/NOT RESOLVED
102,ADAE,Descriptive Variables,Char,,AECAUDIS,AE Caused Subject to Discontinue Study,,text,1,,AECAUDIS,No Yes Response - N/Y,,,No,,,,,TRUE,TRUE,Predecessor,AE.AECAUDIS,,N@Y
103,ADAE,Descriptive Variables,Char,,AECONTRT,Concomitant or Additional Trtmnt Given,,text,1,,AECONTRT,No Yes Response - N/Y,,,No,,,,,TRUE,TRUE,Predecessor,AE.AECONTRT,,N@Y
37,ADAE_not_used,Dictionary Coding Variables for MedDRA,Char,Cond,AESOC,Primary System Organ Class,,text,52,,AESOC,_PLEASE ADD DICTIONARY_,,,Yes,,,,,TRUE,,Predecessor,AE.AESOC,,PLEASE ADD DICTIONARY_@_PLEASE ADD DICTIONARY_
38,ADAE_not_used,Dictionary Coding Variables for MedDRA,Num,Perm,AESOCCD,Primary System Organ Class Code,,integer,8,,AESOCCD,_PLEASE ADD DICTIONARY_,,,No,,,,,TRUE,,Predecessor,AE.AESOCCD,,
41,ADAE_not_used,Timing Variables,Char,Cond,ASTDTF,Analysis Start Date Imputation Flag,,,,,,,,,,,,,,,,,,,
42,ADAE_not_used,Timing Variables,Char,Cond,ASTTMF,Analysis Start Time Imputation Flag,,,,,,,,,,,,,,,,,,,
46,ADAE_not_used,Timing Variables,Char,Cond,AENDTF,Analysis End Date Imputation Flag,,,,,,,,,,,,,,,,,,,
47,ADAE_not_used,Timing Variables,Char,Cond,AENTMF,Analysis End Time Imputation Flag,,,,,,,,,,,,,,,,,,,
48,ADAE_not_used,Timing Variables,Num,Cond,ASTDY,Analysis Start Relative Day,,,,,,,,,,,,,,,,,,,
50,ADAE_not_used,Timing Variables,Num,Perm,AENDY,Analysis End Relative Day,,,,,,,,,,,,,,,,,,,
54,ADAE_not_used,Timing Variables,Char,Perm,AEDUR,Duration of Adverse Event,,,,,,,,,,,,,,,,,,,
55,ADAE_not_used,Timing Variables,Num,Perm,APERIOD,Period,,,,,,,,,,,,,,,,,,,
56,ADAE_not_used,Timing Variables,Char,Perm,APERIODC,Period (C),,,,,,,,,,,,,,,,,,,
57,ADAE_not_used,Timing Variables,Char,Perm,APHASE,Phase,,,,,,,,,,,,,,,,,,,
60,ADAE_not_used,Indicator Variables,Char,Cond,ANLzzFL,Analysis Record Flag zz,,,,,,,,,,,,,,,,,,,
61,ADAE_not_used,Indicator Variables,Char,Cond,PREFL,Pre-treatment Flag,,,,,,,,,,,,,,,,,,,
62,ADAE_not_used,Indicator Variables,Char,Cond,FUPFL,Follow-up Flag,,,,,,,,,,,,,,,,,,,
79,ADAE_not_used,Treatment Variables,Num,Perm,DOSEAEON,Study Drug Dose at AE Onset,,,,,,,,,,,,,,,,,,,
80,ADAE_not_used,Treatment Variables,Char,Cond,DOSAEONU,Study Drug Dose at AE Onset Units,,,,,,,,,,,,,,,,,,,
81,ADAE_not_used,Treatment Variables,Num,Perm,DOSECUM,Cumulative Study Drug Dose,,,,,,,,,,,,,,,,,,,
82,ADAE_not_used,Treatment Variables,Char,Cond,DOSECUMU,Cumulative Study Drug Dose Units,,,,,,,,,,,,,,,,,,,
85,ADAE_not_used,Descriptive Variables,Char,Perm,ASEV,Analysis Severity/Intensity,,,,,,,,,,,,,,,,,,,
86,ADAE_not_used,Descriptive Variables,Char,Perm,SEVGRy,Pooled Severity Group y,,,,,,,,,,,,,,,,,,,
87,ADAE_not_used,Descriptive Variables,Num,Perm,SEVGRyN,Pooled Severity Group y (N),,,,,,,,,,,,,,,,,,,
89,ADAE_not_used,Descriptive Variables,Num,Perm,AERELN,Causality (N),,,,,,,,,,,,,,,,,,,
90,ADAE_not_used,Descriptive Variables,Char,Perm,AREL,Analysis Causality,,,,,,,,,,,,,,,,,,,
91,ADAE_not_used,Descriptive Variables,Num,Perm,ARELN,Analysis Causality (N),,,,,,,,,,,,,,,,,,,
92,ADAE_not_used,Descriptive Variables,Char,Perm,RELGRy,Pooled Causality Group y,,,,,,,,,,,,,,,,,,,
93,ADAE_not_used,Descriptive Variables,Num,Perm,RELGRyN,Pooled Causality Group y (N),,,,,,,,,,,,,,,,,,,
94,ADAE_not_used,Descriptive Variables,Char,Perm,AETOXGR,Standard Toxicity Grade,,,,,,,,,,,,,,,,,,,
95,ADAE_not_used,Descriptive Variables,Num,Perm,AETOXGRN,Standard Toxicity Grade (N),,,,,,,,,,,,,,,,,,,
96,ADAE_not_used,Descriptive Variables,Char,Perm,ATOXGR,Analysis Toxicity Grade,,,,,,,,,,,,,,,,,,,
97,ADAE_not_used,Descriptive Variables,Num,Perm,ATOXGRN,Analysis Toxicity Grade (N),,,,,,,,,,,,,,,,,,,
98,ADAE_not_used,Descriptive Variables,Char,Perm,TOXGGRy,Pooled Toxicity Grade Group y,,,,,,,,,,,,,,,,,,,
99,ADAE_not_used,Descriptive Variables,Num,Perm,TOXGGRyN,Pooled Toxicity Grade y (N),,,,,,,,,,,,,,,,,,,
101,ADAE_not_used,Standardized MedDRA Query Variables,Char,Cond,SMQzzNAM,SMQ zz Name,,,,,,,,,,,,,,,,,,,
102,ADAE_not_used,Standardized MedDRA Query Variables,Num,Perm,SMQzzCD,SMQ zz Code,,,,,,,,,,,,,,,,,,,
103,ADAE_not_used,Standardized MedDRA Query Variables,Char,Cond,CQzzNAM,Customized Query zz Name,,,,,,,,,,,,,,,,,,,
104,ADAE_not_used,Original or Prior MedDRA Coding Variables,Char,Perm,DECDORGy,PT in Original Dictionary y,,,,,,,,,,,,,,,,,,,
105,ADAE_not_used,Original or Prior MedDRA Coding Variables,Char,Perm,BDSYORGy,SOC in Original Dictionary y,,,,,,,,,,,,,,,,,,,
106,ADAE_not_used,Original or Prior MedDRA Coding Variables,Char,Perm,HLGTORGy,HLGT in Original Dictionary y,,,,,,,,,,,,,,,,,,,
